model_key,aigen_truncated_all,aigen_truncated_authentic,aigen_truncated_machine,frd_truncated_all
bert,0.26377171215880896,0.24219536757301108,0.2847358121330724,0.06796596755045509
bert_sentiment_profile,0.26377171215880896,0.24219536757301108,0.2847358121330724,0.06796596755045509
roberta,0.25359801488833744,0.22860020140986909,0.27788649706457924,0.0695983379501385
roberta_sentiment_profile,0.25359801488833744,0.22860020140986909,0.27788649706457924,0.0695983379501385
deberta,0.25359801488833744,0.22860020140986909,0.27788649706457924,0.0695983379501385
deberta_sentiment_profile,0.25359801488833744,0.22860020140986909,0.27788649706457924,0.0695983379501385
deberta_v3_base,0.21042183622828783,0.21399798590130917,0.20694716242661448,0.06489908982983775
deberta_v3_sentiment_gated,0.21042183622828783,0.21399798590130917,0.20694716242661448,0.06489908982983775
modernbert_base,0.27444168734491314,0.23867069486404835,0.30919765166340507,0.0708844479620103
modernbert_sentiment_profile,0.27444168734491314,0.23867069486404835,0.30919765166340507,0.0708844479620103
electra_base,0.26377171215880896,0.24219536757301108,0.2847358121330724,0.06796596755045509
electra_sentiment_profile,0.26377171215880896,0.24219536757301108,0.2847358121330724,0.06796596755045509
distilbert,0.26377171215880896,0.24219536757301108,0.2847358121330724,0.06796596755045509
distilbert_sentiment_profile,0.26377171215880896,0.24219536757301108,0.2847358121330724,0.06796596755045509
