stage_order,stage,model_key,model,source_type,selection_basis,validation_accuracy,validation_f1,validation_roc_auc,selected_threshold,test_n,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,balanced_accuracy,mcc,tn,fp,fn,tp,errors,accuracy_delta_pp_from_previous,f1_delta_pp_from_previous,roc_auc_delta_from_previous
1,Traditional ML,tfidf_svm,TF-IDF + SVM,Traditional ML,validation_only,0.9381647291615137,0.9392023346303502,0.9857884399757052,0.49249422160511225,8086,0.9432352213702696,0.9307525847559509,0.9576942107867392,0.9440312157054018,0.986271376070547,0.9871624174774594,0.9287833827893175,0.9432387967880284,0.8868426686904127,3756,288,171,3871,459,,,
2,Deep Learning,word2vec_lstm,Word2Vec + LSTM,Deep Learning,validation_only,0.9490477368290873,0.9483709273182958,0.9886112974989122,0.368789866566658,8086,0.9500371011625031,0.9509172037679723,0.9490351311232064,0.9499752352649826,0.9881209283238166,0.9887327455875898,0.9510385756676558,0.9500368533954311,0.9000759093734646,3846,198,206,3836,404,0.6801879792233456,0.5944019559580793,0.0018495522532695485
3,Plain Transformer,modernbert_base,ModernBERT,Transformer,validation_only,0.9836754884986396,0.9838076545632973,0.9987584614759663,0.28302879089934707,8086,0.9823151125401929,0.976068376068376,0.9888668975754576,0.9824259555118594,0.9985351020026616,0.9986048466135345,0.9757665677546983,0.9823167326650779,0.9647132326104367,3946,98,45,3997,143,3.227801137768982,3.2450720246876785,0.010414173678845007
4,Validation-selected Transformer configuration,modernbert_sentiment_profile,ModernBERT + Sentiment Profile,Transformer,validation_only,0.9844175117487015,0.9844020797227037,0.9986577631212525,0.02106755665214396,8086,0.9831808063319317,0.9850968703427719,0.9811974270163285,0.9831432821021319,0.9984194151322097,0.9985331079478114,0.9851632047477745,0.9831803158820516,0.9663691451046076,3984,60,76,3966,136,0.08656937917388419,0.07173265902724602,-0.00011568687045193649
5,Final weighted ensemble,ensemble_rank1_weighted_soft,DistilBERT + Sentiment Profile + ModernBERT + Sentiment Profile + RoBERTa + Sentiment Profile (Weighted Soft Voting),Ensemble,validation_only,0.986643581498887,0.9866534849233811,0.9990918794791191,0.549767505326483,8086,0.9875092752906258,0.9898086005468556,0.9851558634339436,0.9874767513949163,0.9991436969192421,0.9991660375891621,0.9898615232443125,0.987508693339128,0.9750292869192101,4003,41,60,3982,101,0.43284689586940983,0.4333469292784442,0.0007242817870324325
