system_key,system,system_type,source_threshold,inference_seconds,reviews_per_second,inference_batch_size,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,balanced_accuracy,mcc,fpr,fnr,tn,fp,fn,tp,threshold,ensemble_rank,members,weights,selection_data
model::bert,BERT,model,0.20804226459082598,41.0136394,98.25999494207285,16.0,0.4913151364764268,0.0,0.0,0.0,0.9054992087469429,0.8259835072736831,0.9969788519637462,0.4984894259818731,-0.03917395885294726,0.0030211480362537764,1.0,1980,6,2044,0,0.5,,,,
model::bert_sentiment_profile,BERT + Sentiment Profile,model,0.21800289870082784,40.5760865,99.31958322299022,8.0,0.49205955334987594,0.0,0.0,0.0,0.3219219960466908,0.3884771244576816,0.9984894259818731,0.49924471299093653,-0.027689852109955542,0.0015105740181268882,1.0,1983,3,2044,0,0.5,,,,
model::roberta,RoBERTa,model,0.03126213002387761,38.78444789999999,103.90762839761865,16.0,0.49280397022332506,0.0,0.0,0.0,0.4254379482207153,0.4307061774807394,1.0,0.5,0.0,0.0,1.0,1986,0,2044,0,0.5,,,,
model::roberta_sentiment_profile,RoBERTa + Sentiment Profile,model,0.9790508217963078,40.59995709999998,99.26118862820182,8.0,0.46253101736972707,0.0234375,0.0014677103718199608,0.0027624309392265192,0.4884691864578468,0.4530627781137162,0.9370594159113796,0.4692635631415998,-0.1752528003827422,0.06294058408862034,0.9985322896281801,1861,125,2041,3,0.5,,,,
model::deberta,DeBERTa,model,0.019570925940085426,60.163544900000005,66.98408490886646,16.0,0.49230769230769234,0.0,0.0,0.0,0.5743970021067235,0.5179633351883787,0.998992950654582,0.499496475327291,-0.022605862961341934,0.0010070493454179255,1.0,1984,2,2044,0,0.5,,,,
model::deberta_sentiment_profile,DeBERTa + Sentiment Profile,model,0.99,61.225505999999996,65.82224081578028,8.0,0.49057071960297766,0.0,0.0,0.0,0.558759407831336,0.5158215804442788,0.9954682779456193,0.49773413897280966,-0.047995999686044045,0.004531722054380665,1.0,1977,9,2044,0,0.5,,,,
model::deberta_v3_base,DeBERTa-v3,model,0.13417820632457733,63.2814873,63.68371180808198,8.0,0.49081885856079405,0.0,0.0,0.0,0.510769367963218,0.4691780884283853,0.9959718026183283,0.49798590130916415,-0.04524543667118954,0.004028197381671702,1.0,1978,8,2044,0,0.5,,,,
model::deberta_v3_sentiment_gated,DeBERTa-v3 + Sentiment Profile (Gated),model,0.05772783383033802,59.73298699999998,67.46690902967904,8.0,0.49057071960297766,0.0,0.0,0.0,0.45010302055681345,0.43567691695270316,0.9954682779456193,0.49773413897280966,-0.047995999686044045,0.004531722054380665,1.0,1977,9,2044,0,0.5,,,,
model::modernbert_base,ModernBERT,model,0.28302879089934707,1901.7398130000001,2.1191121795166414,4.0,0.49255583126550867,0.0,0.0,0.0,0.7238132682200057,0.6173389550133666,0.999496475327291,0.4997482376636455,-0.01598277515847836,0.0005035246727089627,1.0,1985,1,2044,0,0.5,,,,
model::modernbert_sentiment_profile,ModernBERT + Sentiment Profile,model,0.02106755665214396,1815.8221373000001,2.2193803661807574,4.0,0.49205955334987594,0.0,0.0,0.0,0.4521594902083666,0.44682813215589634,0.9984894259818731,0.49924471299093653,-0.027689852109955542,0.0015105740181268882,1.0,1983,3,2044,0,0.5,,,,
model::electra_base,ELECTRA,model,0.9739435122241902,40.81914670000003,98.72817846042815,16.0,0.48982630272952854,0.0,0.0,0.0,0.4730135163364688,0.45424980680049476,0.9939577039274925,0.49697885196374625,-0.055441692590535996,0.006042296072507553,1.0,1974,12,2044,0,0.5,,,,
model::electra_sentiment_profile,ELECTRA + Sentiment Profile,model,0.9544776935320545,42.2243704,95.44251250694789,8.0,0.49106699751861044,0.0,0.0,0.0,0.3827660797795922,0.4209509123068945,0.9964753272910373,0.49823766364551864,-0.04231797009980622,0.003524672708962739,1.0,1979,7,2044,0,0.5,,,,
model::distilbert,DistilBERT,model,0.2987274209627846,20.519661400000018,196.39700292520405,16.0,0.49057071960297766,0.0,0.0,0.0,0.2695067773829724,0.36852067115974335,0.9954682779456193,0.49773413897280966,-0.047995999686044045,0.004531722054380665,1.0,1977,9,2044,0,0.5,,,,
model::distilbert_sentiment_profile,DistilBERT + Sentiment Profile,model,0.8807628123443481,22.104216899999983,182.31815305793543,8.0,0.49156327543424316,0.0,0.0,0.0,0.2721895735904758,0.3689744635373904,0.9974823766364552,0.4987411883182276,-0.03575632561015294,0.0025176233635448137,1.0,1981,5,2044,0,0.5,,,,
